# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	X/East	Y/North	Z/Altitude
DSC01206_geotag.JPG	13.636891	58.469295	275.800000
DSC01207_geotag.JPG	13.637033	58.469225	275.700000
DSC01208_geotag.JPG	13.637082	58.469077	275.570000
DSC01209_geotag.JPG	13.637090	58.468943	275.850000
DSC01210_geotag.JPG	13.636905	58.468920	275.940000
DSC01211_geotag.JPG	13.636577	58.468904	275.670000
DSC01212_geotag.JPG	13.636237	58.468885	275.700000
DSC01213_geotag.JPG	13.635905	58.468874	275.700000
DSC01214_geotag.JPG	13.635658	58.468873	275.730000
DSC01215_geotag.JPG	13.635317	58.468876	275.630000
DSC01216_geotag.JPG	13.634963	58.468869	275.550000
DSC01217_geotag.JPG	13.634614	58.468865	275.570000
DSC01218_geotag.JPG	13.634272	58.468860	275.730000
DSC01219_geotag.JPG	13.633934	58.468857	275.760000
DSC01220_geotag.JPG	13.633677	58.468856	275.760000
DSC01221_geotag.JPG	13.633324	58.468852	275.730000
DSC01222_geotag.JPG	13.632976	58.468848	275.800000
DSC01223_geotag.JPG	13.632636	58.468842	275.570000
DSC01224_geotag.JPG	13.632313	58.468841	275.730000
DSC01225_geotag.JPG	13.631977	58.468839	275.720000
DSC01226_geotag.JPG	13.631654	58.468841	275.200000
DSC01227_geotag.JPG	13.631336	58.468842	275.640000
DSC01228_geotag.JPG	13.631092	58.468837	275.600000
DSC01229_geotag.JPG	13.630766	58.468825	275.610000
DSC01230_geotag.JPG	13.630431	58.468819	275.730000
DSC01231_geotag.JPG	13.630102	58.468813	275.570000
DSC01232_geotag.JPG	13.629771	58.468812	275.450000
DSC01233_geotag.JPG	13.629459	58.468816	275.660000
DSC01234_geotag.JPG	13.629135	58.468814	275.760000
DSC01235_geotag.JPG	13.628886	58.468807	275.910000
DSC01236_geotag.JPG	13.628536	58.468795	275.920000
DSC01237_geotag.JPG	13.628185	58.468784	275.790000
DSC01238_geotag.JPG	13.627839	58.468779	275.630000
DSC01239_geotag.JPG	13.627491	58.468775	275.760000
DSC01240_geotag.JPG	13.627147	58.468769	275.800000
DSC01241_geotag.JPG	13.626811	58.468767	275.820000
DSC01242_geotag.JPG	13.626477	58.468767	275.770000
DSC01243_geotag.JPG	13.626227	58.468763	276.010000
DSC01244_geotag.JPG	13.625886	58.468756	275.880000
DSC01245_geotag.JPG	13.625528	58.468746	275.730000
DSC01246_geotag.JPG	13.625179	58.468746	275.510000
DSC01247_geotag.JPG	13.624866	58.468756	275.420000
DSC01248_geotag.JPG	13.624552	58.468759	275.610000
DSC01249_geotag.JPG	13.624236	58.468756	275.920000
DSC01250_geotag.JPG	13.623917	58.468750	275.800000
DSC01251_geotag.JPG	13.623673	58.468747	275.670000
DSC01252_geotag.JPG	13.623360	58.468744	275.910000
DSC01253_geotag.JPG	13.623053	58.468741	275.700000
DSC01254_geotag.JPG	13.622751	58.468739	275.760000
DSC01255_geotag.JPG	13.622430	58.468731	275.850000
DSC01256_geotag.JPG	13.622091	58.468724	275.570000
DSC01257_geotag.JPG	13.621835	58.468719	275.630000
DSC01258_geotag.JPG	13.621489	58.468708	275.630000
DSC01259_geotag.JPG	13.621137	58.468699	275.700000
DSC01260_geotag.JPG	13.620788	58.468693	275.670000
DSC01261_geotag.JPG	13.620659	58.468622	275.670000
DSC01262_geotag.JPG	13.620620	58.468477	275.750000
DSC01263_geotag.JPG	13.620627	58.468345	275.630000
DSC01264_geotag.JPG	13.620821	58.468319	275.700000
DSC01265_geotag.JPG	13.621058	58.468314	275.580000
DSC01266_geotag.JPG	13.621393	58.468310	275.730000
DSC01267_geotag.JPG	13.621746	58.468312	275.790000
DSC01268_geotag.JPG	13.622091	58.468317	275.770000
DSC01269_geotag.JPG	13.622437	58.468323	275.730000
DSC01270_geotag.JPG	13.622785	58.468329	275.730000
DSC01271_geotag.JPG	13.623049	58.468331	275.700000
DSC01272_geotag.JPG	13.623400	58.468335	275.800000
DSC01273_geotag.JPG	13.623746	58.468339	275.880000
DSC01274_geotag.JPG	13.624095	58.468344	275.820000
DSC01275_geotag.JPG	13.624449	58.468349	275.790000
DSC01276_geotag.JPG	13.624800	58.468354	275.800000
DSC01277_geotag.JPG	13.625150	58.468359	275.760000
DSC01278_geotag.JPG	13.625502	58.468363	275.700000
DSC01279_geotag.JPG	13.625764	58.468364	275.730000
DSC01280_geotag.JPG	13.626104	58.468364	275.820000
DSC01281_geotag.JPG	13.626439	58.468367	275.830000
DSC01282_geotag.JPG	13.626780	58.468372	275.850000
DSC01283_geotag.JPG	13.627112	58.468377	275.830000
DSC01284_geotag.JPG	13.627442	58.468381	275.850000
DSC01285_geotag.JPG	13.627773	58.468385	275.760000
DSC01286_geotag.JPG	13.628103	58.468390	275.770000
DSC01287_geotag.JPG	13.628435	58.468395	275.790000
DSC01288_geotag.JPG	13.628765	58.468400	275.730000
